Box no.,Total APs
ee:f3:42:10:12:f7,1,"05/10/2018,"
7c:8b:ca:31:2f:60,1,"05/10/2018,"
7c:8b:ca:52:db:6c,1,"05/10/2018,"
f0:8c:fb:81:5c:d0,1,"05/10/2018,"
48:fd:8e:b8:7e:ac,1,"05/10/2018,"
ea:85:50:8d:21:61,1,"05/10/2018,"
""
Box no.,Total APs
40,18
MAC,Persistence,Dates Seen
e0:8e:3c:1b:42:cb,1,"05/08/2018,"
04:95:e6:b0:8e:e1,1,"05/08/2018,"
94:0e:6b:d7:b6:57,1,"05/08/2018,"
cc:06:77:72:6b:80,1,"05/08/2018,"
00:13:33:de:5a:8c,1,"05/08/2018,"
d0:13:fd:4f:83:ba,1,"05/08/2018,"
e0:8e:3c:22:60:b7,1,"05/08/2018,"
bc:c0:0f:ca:08:20,1,"05/08/2018,"
9c:6f:52:35:1c:66,1,"05/08/2018,"
d0:04:92:01:91:e0,1,"05/08/2018,"
7c:8b:ca:31:2f:60,1,"05/08/2018,"
cc:06:77:e2:7b:40,1,"05/08/2018,"
88:d2:74:86:ac:54,1,"05/08/2018,"
88:d2:74:86:d3:ea,1,"05/08/2018,"
1c:67:58:99:d2:fd,1,"05/08/2018,"
28:ff:3e:3d:e2:c8,1,"05/08/2018,"
74:4a:a4:6b:32:43,1,"05/08/2018,"
ec:8a:4c:94:a9:d1,1,"05/08/2018,"
""
Box no.,Total APs
41,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
42,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
43,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
44,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
45,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
46,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
47,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
48,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
49,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
50,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
51,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
52,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
53,20
MAC,Persistence,Dates Seen
88:d2:74:86:cd:36,1,"05/10/2018,"
cc:06:77:b4:16:78,1,"05/10/2018,"
38:d8:2f:2b:fe:4c,1,"05/10/2018,"
74:cc:39:8c:4a:c8,1,"05/10/2018,"
84:16:f9:26:31:2c,1,"05/10/2018,"
70:4f:57:45:14:3f,1,"05/10/2018,"
c4:6e:1f:48:96:b2,1,"05/10/2018,"
48:db:50:21:56:e8,1,"05/10/2018,"
10:c3:7b:c8:52:20,1,"05/10/2018,"
5c:f2:86:23:4f:46,1,"05/10/2018,"
48:fd:8e:b9:8f:88,1,"05/10/2018,"
00:e0:20:29:69:db,1,"05/10/2018,"
48:fd:8e:b8:7e:88,1,"05/10/2018,"
5c:f2:86:2e:b4:ac,1,"05/10/2018,"
f0:8c:fb:81:5a:b8,1,"05/10/2018,"
00:1f:fb:a1:ea:95,1,"05/10/2018,"
cc:06:77:b5:1c:90,1,"05/10/2018,"
f0:8c:fb:81:5a:b9,1,"05/10/2018,"
e0:8e:3c:1a:b6:53,1,"05/10/2018,"
94:a7:b7:3c:f9:3f,1,"05/10/2018,"
""
Box no.,Total APs
54,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
55,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
56,32
MAC,Persistence,Dates Seen
d0:13:fd:4f:83:ba,1,"05/08/2018,"
c4:ff:1f:57:85:54,2,"05/08/2018, 05/10/2018,"
e0:8e:3c:2f:24:39,2,"05/08/2018, 05/10/2018,"
34:ba:9a:55:af:7b,1,"05/08/2018,"
48:fd:8e:ce:2e:c8,1,"05/08/2018,"
8c:4c:ad:01:e0:1a,2,"05/08/2018, 05/10/2018,"
4c:54:99:11:2f:8e,3,"05/08/2018, 05/10/2018,"
34:ef:44:4e:63:c9,4,"05/08/2018, 05/10/2018,"
d0:04:92:01:47:28,1,"05/08/2018,"
98:e7:f5:60:02:90,4,"05/08/2018, 05/10/2018,"
48:fd:8e:b8:82:84,3,"05/08/2018, 05/10/2018,"
00:1f:fb:bb:5c:6b,2,"05/08/2018, 05/10/2018,"
9c:6f:52:35:00:92,2,"05/08/2018, 05/10/2018,"
08:10:73:63:19:69,1,"05/08/2018,"
04:95:e6:b0:8e:e1,2,"05/08/2018, 05/10/2018,"
00:13:33:ce:fc:c4,1,"05/08/2018,"
48:fd:8e:b9:91:dc,1,"05/10/2018,"
48:fd:8e:b8:7e:ac,2,"05/10/2018,"
48:fd:8e:ce:3d:bc,1,"05/10/2018,"
88:d2:74:86:c3:82,1,"05/10/2018,"
90:61:0c:1f:a2:64,2,"05/10/2018,"
d0:04:92:01:8f:50,3,"05/10/2018,"
d0:04:92:02:40:70,2,"05/10/2018,"
e0:8e:3c:2f:22:85,1,"05/10/2018,"
ec:8a:4c:94:c4:d1,1,"05/10/2018,"
e0:8e:3c:22:0a:13,1,"05/10/2018,"
ec:8a:4c:94:7f:e1,1,"05/10/2018,"
e0:8e:3c:04:a4:4f,1,"05/10/2018,"
ee:f3:42:10:12:f7,1,"05/10/2018,"
28:ff:3e:3d:e8:59,1,"05/10/2018,"
5c:c3:07:41:b2:c7,1,"05/10/2018,"
90:61:0c:1f:a2:65,1,"05/10/2018,"
""
Box no.,Total APs
57,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
58,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
59,18
MAC,Persistence,Dates Seen
ec:8a:4c:94:a9:d1,1,"05/08/2018,"
d0:13:fd:4f:83:ba,1,"05/08/2018,"
e0:8e:3c:1b:42:cb,1,"05/08/2018,"
04:95:e6:b0:8e:e1,1,"05/08/2018,"
94:0e:6b:d7:b6:57,1,"05/08/2018,"
a0:ab:1b:75:44:94,1,"05/08/2018,"
00:13:33:de:5a:8c,1,"05/08/2018,"
e4:77:23:a0:67:dc,1,"05/08/2018,"
e0:8e:3c:2e:38:71,1,"05/08/2018,"
9c:6f:52:35:1c:66,1,"05/08/2018,"
bc:c0:0f:ca:08:20,1,"05/08/2018,"
e0:8e:3c:2f:3f:65,1,"05/08/2018,"
48:fd:8e:4b:f4:c0,1,"05/08/2018,"
7c:8b:ca:31:2f:60,1,"05/08/2018,"
cc:06:77:e2:87:c0,1,"05/08/2018,"
94:fe:22:b1:bf:7e,1,"05/08/2018,"
94:a7:b7:26:4f:d9,1,"05/08/2018,"
f0:8c:fb:81:57:00,1,"05/08/2018,"
""
Box no.,Total APs
60,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
61,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
62,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
63,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
64,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
65,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
66,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
67,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
68,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
69,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
70,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
71,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
72,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
73,17
MAC,Persistence,Dates Seen
80:3f:5d:c2:67:52,1,"05/08/2018,"
50:64:2b:4d:65:45,1,"05/08/2018,"
90:61:0c:08:3c:2b,1,"05/08/2018,"
00:1a:ef:44:d1:2c,1,"05/08/2018,"
94:a7:b7:26:4e:1c,1,"05/08/2018,"
