First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-05-15 20:01:20,00:26:75:ac:8c:a7,,[WPA-PSK-TKIP][WPA2-PSK-TKIP][WPS][ESS],-76,1,14.70600359,121.09775561
2018-05-15 19:58:28,cc:06:77:72:dc:ac,Pldthomearlo5g,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-76,44,14.70604033,121.09776192
2018-05-15 19:58:28,cc:06:77:72:dc:a8,Pldthomearlo2.4g,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-75,5,14.70604033,121.09776192
2018-05-15 19:58:43,48:fd:8e:b8:7e:ac,HUAWEI-9gqg,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-52,7,14.70633143,121.09728494
2018-05-15 19:58:43,28:ff:3e:3d:e8:59,VIRUS,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-75,5,14.70633143,121.09728494
2018-05-15 19:58:28,cc:06:77:e3:f6:70,PLDTHOMEFIBR3f670,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-88,11,14.70604033,121.09776192
2018-05-15 19:59:20,88:d2:74:86:c8:ef,SACDALAN,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-48,7,14.70659871,121.09645602
2018-05-15 20:02:12,6a:5a:cf:19:b5:62,BMt1-bWljb25nYXBhbGE,[ESS],-54,6,14.7059359,121.09712237
2018-05-15 19:58:43,08:10:73:47:13:90,Regie,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],-69,1,14.70633143,121.09728494
2018-05-15 19:58:43,c4:ff:1f:57:da:4c,HUAWEI-h5Ad,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-73,10,14.70633143,121.09728494
