Total APs,1157
PLDT,293
BSSID,SSID,Encryption,Channel
bc:c0:0f:bf:79:80,PLDTHOMEFIBRf7980,WPA2/WPA,8
90:61:0c:16:73:f9,PLDTMyDSL,WPA2/WPA,11
1e:74:0d:02:42:c0,PLDTMyDSLBiz,WPA2/WPA,1
cc:06:77:6e:da:80,PLDTHOMEFIBReda80,WPA2/WPA,6
1c:74:0d:17:57:88,PLDTHOMEDSL3SQBI,WPA2/WPA,8
74:cc:39:86:00:88,PLDTHOMEFIBR_860088,WPA2/WPA,9
cc:06:77:21:12:88,PLDTHOMEFIBR11288,WPA2/WPA,11
cc:06:77:5c:bd:58,OSPLDT2_4G,WPA2/WPA,1
00:13:33:fa:b8:da,PLDTHOMEDSLWS,WPA2/WPA,3
94:46:96:17:00:3d,PLDTHOMEDSL7M7R0,WPA2/WPA,5
00:13:33:ea:7b:20,PLDTHOMEDSLadmin,WPA2/WPA,5
bc:c0:0f:1e:90:90,PLDTHOMEFIBRe9090,WPA2/WPA,8
cc:06:77:6e:cf:08,PLDTHOMEFIBRecf08,WPA2/WPA,9
00:13:33:df:9b:b8,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:11:8d:26,PLDTMyDSL,WPA2/WPA,11
94:46:96:1d:46:ce,PLDTHOMEDSLUJU40,WPA2/WPA,11
00:13:33:e1:63:df,PLDTHOMEDSL,WPA2/WPA,11
74:cc:39:ca:35:38,PLDTHOMEFIBRa3538,WPA2/WPA,9
00:13:33:e1:c9:15,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:c0:57:33,PLDTHOMEDSL,WPA2/WPA,11
cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,WPA2/WPA,1
bc:c0:0f:cb:0d:88,PLDTHOMEFIBRb0d88,WPA2/WPA,5
cc:06:77:e1:1f:90,PLDTHOMEFIBR11f90,WPA2/WPA,5
94:46:96:18:f4:c9,PLDTHOMEDSL7G7G0,WPA2/WPA,5
00:13:33:dc:91:af,PLDTHOMEDSLDAL1,WPA2/WPA,11
00:13:33:e8:f8:31,PLDTHOMEDSL,WPA2/WPA,11
f4:9e:ef:d0:b7:bc,PLDTHOMEDSL VCE,WPA2,11
00:13:33:e1:9b:5c,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:2c:e1:7d,PLDTHOMEDSL57725,WPA2/WPA,1
cc:06:77:22:fb:60,PLDTHOMEFIBR2fb60,WPA2/WPA,5
00:13:33:ea:87:f5,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:e3:b0:3b,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:c6:d0:da,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:2e:02:f3,PLDTHOMEDSL00755,WPA2/WPA,11
90:61:0c:2e:d5:16,PLDTHOMEDSL54550,WPA2/WPA,11
00:13:33:f4:2a:f6,PLDTHOMEDSL,WPA2/WPA,6
00:13:33:fc:69:69,PLDTHOMEDSLGRABTAPSI,WPA2/WPA,6
94:46:96:18:f3:11,PLDTHOMEDSL7Y7Y0,WPA2/WPA,7
00:13:33:ed:62:7d,PLDTHOMEDSL,WPA2/WPA,1
00:13:33:e1:98:5f,PLDTHOMEDSLsanji,WPA2/WPA,11
94:46:96:1e:9b:87,PLDTHOMEDSLW3WH0,WPA2/WPA,1
90:61:0c:35:8c:13,PLDTHOMEDSL35859,WPA2/WPA,1
94:46:96:0e:28:69,PLDTHOMEDSLanamaria,WPA2/WPA,2
00:13:33:d2:49:c5,PLDTHOMEDSL,WPA2/WPA,10
00:13:33:d4:a9:4f,PLDTHOMEDSL,WPA2/WPA,11
94:46:96:1e:f1:2c,PLDTHOMEDSL2Y2Y0,WPA2/WPA,11
94:46:96:19:6c:10,PLDTHOMEDSL_CRES,WPA2/WPA,4
00:13:33:fa:8c:52,PLDTHOMEDSL,WPA2/WPA,10
00:13:33:fd:b7:fb,PLDTHOMEDSLLUCERO,WPA2/WPA,11
90:61:0c:3a:33:db,PLDTHOMEDSL13275,WPA2/WPA,1
00:13:33:f2:83:f7,PLDTHOMEDSLPrivate,WPA2/WPA,6
5c:6a:80:25:f4:98,PLDTMYDSL,WPA2/WPA,6
fc:8b:97:38:ea:bb,PLDTMyDSL,WPA2,11
5a:8b:f3:70:7b:30,PLDTMyDSLBiz3MobileWiFi-62EA,WPA,11
5a:8b:f3:70:7b:33,PLDTMyDSLBiz3,WPA2/WPA,11
90:61:0c:36:0c:7d,PLDTHOMEDSL03197,WPA2/WPA,11
90:61:0c:16:a8:02,PLDTMyDSL,WPA2/WPA,11
4c:81:20:92:43:be,PLDTHOMEDSLALLUPWorkersUnion,WPA2/WPA,1
f0:8c:fb:80:34:48,PLDTHOMEFIBR_803448,WPA2/WPA,3
00:23:69:38:79:a0,PLDTHOMEFIBR_268830,WPA2/WPA,6
d0:04:92:01:1f:00,PLDTHOMEFIBR_011f00,WPA2/WPA,9
94:46:96:1d:8a:21,PLDTHOMEDSL7J7A0,WPA2/WPA,10
00:13:33:e1:c5:73,PLDTHOMEDSL_GUS,WPA2/WPA,11
bc:c0:0f:d4:42:50,PLDTHOMEFIBR44250,WPA2/WPA,11
d0:04:92:02:3b:a8,PLDTHOMEFIBR_023ba8,WPA2/WPA,7
bc:98:89:12:af:10,PLDTHOMEFIBR_SOFIAMILES@UPD,WPA2,7
bc:98:89:12:fa:20,PLDTHOMEFIBR_12fa20,WPA2/WPA,9
60:31:97:dc:e5:74,PLDTBIZ-CKC,WPA2/WPA,13
74:cc:39:30:b4:60,PLDTHOMEFIBR_30b460,WPA2,11
d0:04:92:10:fb:d8,PLDTHOMEFIBRNoNetworkAvailable,WPA2/WPA,1
00:13:33:d9:60:52,PLDTHOMEDSL_SANDOVAL,WPA2/WPA,11
cc:06:77:70:7d:00,PLDTHOMEFIBR07d00,WPA2/WPA,11
74:cc:39:3c:f4:90,PLDTHOMEFIBRLG,WPA2/WPA,6
74:cc:39:8a:bd:18,PLDTHOMEFIBRabd18,WPA2/WPA,9
bc:98:89:9d:4b:70,PLDTHOMEFIBR_DEVERA,WPA2/WPA,12
90:61:0c:0e:c2:d4,PLDTMyDSL+GadielBadiel,WPA2/WPA,11
4c:81:20:92:04:be,PLDTHOMEDSL204BE,WPA2/WPA,7
74:cc:39:ba:dc:c0,PLDTHOMEFIBRadcc0,WPA2/WPA,1
f0:8c:fb:ce:4d:88,PLDTHOMEFIBR_ce4d88,WPA2/WPA,9
d0:04:92:03:78:20,PLDTHOMEFIBR_037820,WPA2/WPA,9
00:13:33:e6:06:3f,PLDTHOMEDSL,WPA2/WPA,11
74:cc:39:86:04:18,PLDTHOMEFIBR_860418,WPA2/WPA,4
74:cc:39:ba:cc:f0,PLDTHOMEFIBRaccf0,WPA2/WPA,8
74:cc:39:c9:c6:c8,PLDTHOMEFIBR9c6c8,WPA2/WPA,8
bc:c0:0f:bf:4e:e8,PLDTHOMEFIBRf4ee8,WPA2/WPA,9
74:cc:39:ca:62:98,PLDTHOMEFIBRa6298,WPA2/WPA,9
bc:c0:0f:c8:e0:70,PLDTHOMEFIBR8e070,WPA2/WPA,10
cc:06:77:6f:33:c0,PLDTHOMEFIBRf33c0,WPA2/WPA,1
bc:c0:0f:d2:b8:00,PLDTHOMEFIBR2b800,WPA2/WPA,1
60:31:97:13:7b:67,PLDTMyDSLBizkevs,WPA2/WPA,12
00:13:33:bf:ae:9b,PLDTHOMEDSL,WPA2/WPA,11
4c:81:20:f3:29:d3,PLDTHOMEDSL329D3,WPA2/WPA,5
18:a3:e8:1f:5a:08,PLDTHOMEFIBRk,WPA2/WPA,9
74:cc:39:30:f4:f8,PLDTHOMEFIBR_30f4f8,WPA2/WPA,3
cc:06:77:6f:ed:d8,PLDTHOMEFIBRfedd8,WPA2/WPA,5
f0:8c:fb:80:d7:90,PLDTHOMEFIBRza,WPA2/WPA,9
00:13:33:e6:02:7f,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:ea:82:fa,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:39:d2:6e,PLDTHOMEDSL53870,WPA2/WPA,11
90:61:0c:3a:45:08,PLDTHOMEDSL17672,WPA2/WPA,1
90:61:0c:3a:8d:17,PLDTHOMEDSL36119,WPA2/WPA,1
cc:5d:4e:ac:d7:08,PLDTMyDSL19,WPA2/WPA,11
1c:74:0d:16:11:e0,PLDTHOMEDSL003OJ,WPA2/WPA,8
00:13:33:e5:fd:e8,PLDTHOMEDSL,WPA2/WPA,11
b0:b2:dc:aa:c8:8c,PLDTMyDSLvirus,WPA2/WPA,11
00:13:33:e1:7d:fc,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:fb:46:83,PLDTHOMEDSLbellabonita,WPA2/WPA,5
00:13:33:d3:4b:09,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:db:90:5c,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:39:f2:a4,PLDTHOMEDSL62116,WPA2/WPA,1
00:13:33:fe:e4:28,PLDTHOMEDSL,WPA2/WPA,2
18:a3:e8:1e:a2:10,PLDTHOMEFIBR_1ea210,WPA2/WPA,7
bc:c0:0f:1f:c1:b8,PLDTHOMEFIBRfc1b8,WPA2/WPA,8
cc:06:77:6e:cd:90,PLDTHOMEFIBRecd90,WPA2/WPA,4
74:cc:39:bb:51:60,PLDTHOMEFIBRb5160,WPA2/WPA,6
bc:c0:0f:1f:c2:f0,PLDTHOMEFIBRfc2f0,WPA2/WPA,10
00:13:33:ea:82:37,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:fb:45:39,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:fe:e4:aa,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:41:05:05,PLDTHOMEDSL01285,WPA2/WPA,11
90:61:0c:2c:dc:66,PLDTHOMEDSL56422,WPA2/WPA,1
""
Huawei,41
BSSID,SSID,Encryption,Channel
24:1f:a0:f2:c4:7e,HUAWEI-E5330-C47E,WPA2,1
f8:23:b2:ed:68:e4,HUAWEI-68E4,WPA2,1
dc:d9:16:3f:04:f1,HUAWEI-04F1,WPA2,1
f0:98:38:3d:9c:ec,HUAWEI-6we7,WPA2/WPA,7
04:4f:4c:26:1c:e1,HUAWEI-1CE1,WPA2,9
f0:98:38:f9:56:4c,HUAWEI-QhMs,WPA2/WPA,2
18:de:d7:34:25:7c,HUAWEI-4Dc3,WPA2/WPA,6
5c:54:6d:43:e1:c8,HUAWEI-GKUp,WPA2/WPA,11
f0:98:38:07:e9:28,HUAWEI-t8s9,WPA2/WPA,11
48:7b:6b:f0:67:8c,HUAWEI-YXXt,WPA2/WPA,5
f0:98:38:3d:99:44,HUAWEI-y28t,WPA2/WPA,11
d0:65:ca:20:00:9f,HUAWEI-009F,WPA2,5
18:de:d7:33:ec:40,HUAWEI-yWEU,WPA2/WPA,11
8c:34:fd:41:07:7d,HUAWEI-E5330-077D,WPA2,11
58:1f:28:21:5d:e3,HUAWEI-E5330-5DE3,WPA2,1
f0:98:38:a0:12:24,HUAWEI-2sbr,WPA2/WPA,3
c8:14:51:59:e5:c6,HUAWEI-E5C6,WPA2,1
18:de:d7:34:0e:e8,HUAWEI-c6nC,WPA2/WPA,5
c8:14:51:59:ec:1e,HUAWEI-EC1E,WPA2,3
88:3f:d3:05:82:3c,HUAWEI-836d,WPA2/WPA,6
88:3f:d3:05:d3:5c,HUAWEI-W8KB,WPA2/WPA,7
f0:98:38:3d:eb:48,HUAWEI,WPA2/WPA,4
48:db:50:d0:09:cd,HUAWEI-E5330-09CD,WPA2,2
a8:0c:63:7c:08:cf,HUAWEI-08CE_Guest,WPA2,4
88:3f:d3:06:77:64,HUAWEI-68pF,WPA2/WPA,10
18:de:d7:34:79:6c,HUAWEI-kc87,WPA2/WPA,2
8c:34:fd:60:c1:ea,HUAWEI-E5330-C1EA,WPA2,7
80:13:82:58:e6:2c,HUAWEI-E62C,WPA2,8
f0:98:38:07:ce:cc,HUAWEI-sJ8b,WPA2/WPA,7
50:68:0a:c4:fc:88,HUAWEI-E5330-FC88,WPA2,3
48:fd:8e:b8:e5:bc,HUAWEI-3Cg2,WPA2/WPA,5
ac:f9:70:ec:e6:08,HUAWEI-7BDP,WPA2/WPA,6
18:de:d7:34:4c:cc,HUAWEI-uAu6,WPA2/WPA,9
60:83:34:cb:8d:ff,HUAWEI-8DFF,WPA2,5
3c:fa:43:a1:a2:88,HUAWEI-A288,WPA2,3
88:3f:d3:05:e7:d0,HUAWEI-6443,WPA2/WPA,11
50:04:b8:ee:ce:f1,HUAWEI-CEF1,WPA2,1
88:3f:d3:06:29:38,HUAWEI-Bn7b,WPA2/WPA,7
f0:98:38:72:ba:c8,EPA MAIN-HUAWEI,WPA2/WPA,1
98:e7:f5:94:4a:ca,HUAWEI-E5330-4ACA,WPA2,2
f0:98:38:3e:25:fc,HUAWEI-xUKs,WPA2/WPA,4
""
Globe,13
BSSID,SSID,Encryption,Channel
8c:34:fd:42:2e:4f,Globe Tattoo,WPA2,1
5c:f2:86:2e:6c:ab,Globe_LTE MIFI_6CAB,WPA2/WPA,7
90:61:0c:2c:81:0b,globe,WPA2,11
f8:df:a8:78:39:ae,GLOBE_7839AE,WPA2/WPA,2
5c:f2:86:2a:fc:b0,Globe_LTE MIFI_FCB0,WPA2/WPA,8
00:23:69:2c:65:2d,ALUGLOBE,WEP,6
14:91:82:14:e4:12,IsidroGlobe,WPA2/WPA,9
88:3f:d3:05:bd:94,IsidroGlobe,WPA2/WPA,9
78:c1:a7:05:24:a4,JnYglobe,WPA,6
88:3f:d3:2d:db:70,GPF-Globe,WPA2/WPA,8
5c:f2:86:27:db:3b,Globe_LTE MIFI_DB3B,WPA2/WPA,7
f0:98:38:3d:b0:a4,GLOBEFIBERPUMPKINBUNNY,WPA2/WPA,1
5c:f2:86:2e:7f:6b,Globe_LTE MIFI_7F6B,WPA2/WPA,8
""
Smart,25
