Common,168
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
bc:c0:0f:7b:a5:30,FIBERHOME_ba530,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2,-89
88:d2:74:a8:fe:54,Cradle of Learners,[WPA-PSK-CCMP+TKIP][WPS][ESS],2,-87
8e:79:67:b2:dd:0f,ZTE-MF65M-DD0F,[WPA2-PSK-CCMP][WPS][ESS],13,-87
e4:8d:8c:fb:3d:c2,CVL_Propagation test,[ESS],60,-89
54:b8:0a:36:61:6c,Central,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],165,-87
51502_30232_210451840,Globe,HSPA;ph,0,-81
50:c7:bf:d8:60:70,NHA-WiFi-Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],9,-87
c4:12:f5:75:e3:8a,bilan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],3,-70
51502_30232_210447752,Globe,HSPA;ph,0,-81
14:91:82:14:e4:12,IsidroGlobe,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1,-87
f0:98:38:3d:eb:48,HUAWEI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],4,-76
4c:81:20:f3:93:6f,malupadilla,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],5,-85
