GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Box No.,Box Time,Box Speed,Box Traversal,Persistence,Dates Seen
2018-04-05 13:15:03,2017-07-29 21:00:00,14:b7:f8:0b:44:97,SKYbroadband4494,WPA2/WPA,-63,1,Technico,Broadband,14.645802,121.058723,23,67,12.8374422344,7,15,"03/14/2018, 04/02/2018, 04/03/2018, 04/13/2018, 04/10/2018, 04/05/2018, "
2018-04-10 17:57:50,2016-02-27 15:00:00,94:a7:b7:26:48:d0,bayanDSLWIFI_48D0,WPA2/WPA,-63,11,Zte,Broadband,14.645807,121.058772,23,67,12.8374422344,7,11,"04/10/2018, 04/13/2018, 04/05/2018, 04/10/2018, "
2018-04-10 18:06:08,2018-02-16 10:00:00,e0:8e:3c:21:f6:a7,bayanDSLWIFI_F6A7,WPA2/WPA,-74,11,AztechEl,Broadband,14.64563,121.059458,24,20,26.9062554757,3,6,"04/10/2018, 04/13/2018, "
2018-03-22 21:31:27.591012,2018-02-16 10:00:00,cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,WPA2/WPA,-67,9,Fiberhom,Fiber,14.645742,121.060682,27,182,19.169482664,14,29,"04/05/2018, 03/14/2018, 04/03/2018, 04/05/2018, 03/22/2018, 04/02/2018, "
2018-04-03 01:50:45.422326,2017-07-29 21:00:00,28:10:7b:f1:02:bc,Diliman Bible Church,WPA2/WPA,-73,7,D-LinkIn,Unidentified,14.645845,121.060657,27,182,19.169482664,14,11,"04/02/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, "
2018-04-03 01:52:07.396086,2017-07-29 21:00:00,48:00:33:62:97:e9,SKYMAGINHAWA,WPA2/WPA,-83,11,Technico,Unidentified,14.645722,121.060512,27,182,19.169482664,14,7,"04/03/2018, 04/05/2018, 03/22/2018, 04/03/2018, "
2018-04-05 14:09:22,2017-07-29 21:00:00,00:13:33:dc:91:af,PLDTHOMEDSLDAL1,WPA2/WPA,-56,11,Baudtec,Broadband,14.645673,121.060752,27,182,19.169482664,14,28,"04/03/2018, 04/05/2018, 04/02/2018, 04/03/2018, 03/14/2018, 03/22/2018, "
2018-04-05 14:08:12,2018-02-16 10:00:00,94:46:96:18:f4:c9,PLDTHOMEDSL7G7G0,WPA2/WPA,-67,1,Baudtec,Broadband,14.645528,121.060832,27,182,19.169482664,14,14,"04/03/2018, 03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018, "
2018-04-05 14:31:35,2017-07-29 21:00:00,90:61:0c:2a:47:af,Marco,WPA2,-78,11,FidaInte,Unidentified,14.645657,121.061073,28,18,7.37444837893,1,2,"04/03/2018, 04/05/2018, "
2018-03-22 21:17:38.423371,2013-03-11 22:00:00,54:04:a6:bd:7d:dc,MLO,WPA2/WPA,-62,6,AsustekC,Unidentified,14.645092,121.057245,29,39,15.3072591538,4,2,"03/22/2018, 04/02/2018, "
2018-03-14 13:31:25.833268,2018-02-16 10:00:00,18:de:d7:34:4c:cc,HUAWEI-uAu6,WPA2/WPA,-75,5,HuaweiTe,Unidentified,14.645432,121.060898,36,75,21.3321089775,10,20,"04/03/2018, 03/22/2018, 04/05/2018, 03/14/2018, 04/03/2018, "
2018-04-05 14:19:52,2018-02-16 10:00:00,00:13:33:ed:60:4c,B79e,WPA2/WPA,-60,10,Baudtec,Unidentified,14.645127,121.060827,36,75,21.3321089775,10,21,"03/22/2018, 04/03/2018, 04/05/2018, 03/14/2018, "
2018-04-05 14:19:53,2018-02-16 10:00:00,00:13:33:e8:f8:31,PLDTHOMEDSL,WPA2/WPA,-56,11,Baudtec,Broadband,14.645098,121.060832,36,75,21.3321089775,10,28,"04/03/2018, 03/22/2018, 04/03/2018, 04/05/2018, 03/14/2018, "
2018-04-05 13:42:52,2018-02-16 10:00:00,88:d2:74:86:d2:0f,abegnot,WPA2/WPA,-72,11,Zte,Unidentified,14.645143,121.060888,36,75,21.3321089775,10,24,"04/05/2018, 04/10/2018, 03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018, "
2018-04-05 14:08:16,2017-07-29 21:00:00,e4:77:23:a5:0c:cc,bayanDSLWiFi_0CCC,WPA2/WPA,-63,4,Zte,Broadband,14.645245,121.060887,36,75,21.3321089775,10,21,"04/03/2018, 04/05/2018, "
2018-04-05 14:20:06,2018-02-16 10:00:00,00:26:75:f5:fe:bc,Premiera Dentista,WPA,-76,9,AztechEl,Unidentified,14.645025,121.060847,36,75,21.3321089775,10,5,"04/03/2018, 04/05/2018, "
2018-04-03 02:05:38.892457,2018-02-16 10:00:00,84:c9:b2:52:16:e9,A4 Site,WPA2/WPA,-67,6,D-LinkIn,Unidentified,14.644872,121.060805,45,34,12.6161924021,3,28,"03/22/2018, 04/03/2018, 04/05/2018, 03/14/2018, "
2018-03-14 13:31:33.390259,2018-02-16 10:00:00,e0:8e:3c:26:15:1c,FINNLEY,WPA,-75,11,AztechEl,Unidentified,14.64485,121.060953,46,91,16.5155326108,9,1,"03/14/2018, "
