SSID,Net ID,TriLat,TriLong,Encryption,Type,Trans ID,First Time,Last Time,Last Updt
unwired2,00:18:F8:70:F5:2B,14.64433956,121.05752563,wpa2,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
roelnet,00:1D:6A:D0:3F:19,14.64257336,121.05817413,wpa2,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
Movingpix,00:1F:1F:1E:02:3B,14.64208412,121.05994415,wpa,infra,20131130-00000,"2013-11-30, 09:00:00 PM","2013-11-30, 09:00:00 AM","2013-11-30, 07:00:00 AM"
Bahay Ni Sarhennto,00:1F:1F:29:C0:A5,14.64662552,121.06131744,wpa2,infra,20131106-00000,"2013-11-03, 03:00:00 AM","2013-11-10, 04:00:00 PM","2013-11-10, 02:00:00 PM"
linksys,00:16:B6:F2:C4:BE,14.64260006,121.06074524,wpa,infra,20130322-00000,"2013-03-23, 06:00:00 PM","2013-04-14, 02:00:00 PM","2013-04-14, 12:00:00 PM"
Magiting S1,00:18:25:05:95:D1,14.64684963,121.05735779,wpa,infra,20140813-00000,"2014-08-14, 03:00:00 AM","2017-05-07, 01:00:00 PM","2017-05-07, 01:00:00 PM"
PLDTSMART,00:18:25:05:95:D4,14.64681721,121.05754852,wpa2,infra,20140813-00000,"2014-08-14, 03:00:00 AM","2017-05-07, 01:00:00 PM","2017-05-07, 01:00:00 PM"
PLDTSMART,00:18:25:03:5C:A4,14.6466713,121.05921936,wpa2,infra,20130418-00000,"2013-04-18, 04:00:00 PM","2014-05-09, 01:00:00 PM","2015-07-26, 08:00:00 AM"
RoxyPC,00:1C:F0:B0:3D:E3,14.64548779,121.06092834,wpa2,infra,20130222-00000,"2013-02-23, 06:00:00 AM","2013-03-01, 01:00:00 PM","2013-03-01, 11:00:00 AM"
Free Wifi,00:1A:70:4A:03:D6,14.6437149,121.05775452,wpa2,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
linksys,00:1A:70:4A:05:98,14.64482403,121.05734253,none,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
linksys_SES_8538,00:1E:E5:63:56:F4,14.6464777,121.0586853,wpa,infra,20130316-00000,"2013-03-16, 08:00:00 AM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
redroot,00:1D:92:12:B0:AC,14.64638805,121.05719757,wpa,infra,20130822-00000,"2013-08-22, 12:00:00 AM","2013-08-22, 08:00:00 AM","2013-08-22, 07:00:00 AM"
linksys,00:18:39:CF:5C:EB,14.64695644,121.05792999,none,infra,20130815-00000,"2013-08-13, 05:00:00 AM","2013-08-22, 08:00:00 AM","2013-08-22, 07:00:00 AM"
Edimax,00:1F:1F:F8:8F:3F,14.64431953,121.05753326,wpa,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
k5-tv,00:1E:58:C1:17:C7,14.64582157,121.06044769,wpa2,infra,20140922-00000,"2014-09-23, 04:00:00 AM","2015-08-12, 03:00:00 PM","2015-08-12, 03:00:00 PM"
AG-PC_Network,00:1E:58:C0:5D:D9,14.64442921,121.0610199,wpa,infra,20131130-00000,"2013-11-30, 09:00:00 PM","2013-11-30, 09:00:00 AM","2013-11-30, 07:00:00 AM"
Markiey23,00:1E:A8:04:98:28,14.64601517,121.0610733,wpa2,infra,20160227-00000,"2016-02-28, 04:00:00 AM","2016-02-27, 03:00:00 PM","2016-02-27, 03:00:00 PM"
cclaw,00:1C:10:C0:D7:5E,14.642766,121.05841827,wpa,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
maginhawa,00:1C:10:94:AA:CC,14.64669323,121.05841827,wpa,infra,20130309-00000,"2013-03-10, 02:00:00 AM","2015-09-16, 05:00:00 PM","2015-09-16, 05:00:00 PM"
default,00:1E:58:3A:97:EB,14.64425373,121.06118011,none,infra,20131030-00000,"2013-10-22, 01:00:00 AM","2013-10-30, 01:00:00 PM","2013-10-30, 11:00:00 AM"
