GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-10 17:21:31,2018-04-03 15:36:27.416849,cc:06:77:23:35:e8,PLDTHOMEFIBR335e8,WPA2/WPA,-82,5,Fiberhom,none,14.648915,121.057623
2018-04-10 17:21:33,2018-04-03 15:36:28.916345,fc:b4:e6:82:43:4a,SKYbroadbandBE46,WPA2/WPA,-89,6,AskeyCom,none,14.648925,121.057712
2018-04-10 17:21:36,2018-04-03 15:36:32.377485,88:3f:d3:2b:ed:2c,YUJ residences,WPA2/WPA,-88,9,HuaweiTe,none,14.648930,121.057802
2018-04-10 17:21:41,2018-04-03 15:36:36.975038,c4:12:f5:c7:e4:9a,PLDTMyDSL-TRSTN,WPA2,-81,11,D-LinkIn,none,14.648977,121.057978
2018-04-10 17:22:58,2018-04-03 15:37:54.642314,d4:6e:0e:b1:b3:91,PLDTHOMEDSL_EXT,WPA2/WPA,-71,11,Tp-LinkT,none,14.648503,121.058383
2018-04-10 17:21:45,2018-04-03 15:36:40.843863,c4:e9:84:fd:d9:c1,SKYbroadbandFA0F_ext,WPA2/WPA,-83,1,Tp-LinkT,none,14.649005,121.058138
2018-04-10 17:23:20,2018-04-03 15:38:17.075626,00:13:33:ed:62:96,PLDTHOMEDSL,WPA2/WPA,-65,1,Baudtec,none,14.648877,121.057902
2018-04-10 17:21:44,2018-04-03 15:36:40.170950,00:11:22:10:cd:eb,SKYbroadbandFA0F_plus,WPA2/WPA,-86,1,Cimsys,none,14.649002,121.058097
2018-04-10 17:21:46,2018-04-03 15:36:42.661154,b4:2a:0e:2a:fa:12,SKYbroadbandFA0F,WPA2,-88,1,Technico,none,14.649003,121.058180
2018-04-10 17:21:46,2018-04-03 15:36:42.950445,70:9f:2d:a1:32:30,bayanDSLWiFi_3230,WPA2/WPA,-90,2,Zte,none,14.649003,121.058180
2018-04-10 17:23:06,2018-04-03 15:38:02.433558,08:86:3b:5f:a1:5a,small device 2.4GHz,WPA2/WPA,-87,4,BelkinIn,none,14.648883,121.058272
2018-04-10 17:22:48,2018-04-03 15:37:44.462615,78:54:2e:f7:19:20,Takken09,WPA2/WPA,-82,6,D-LinkIn,none,14.647965,121.058552
2018-04-10 17:21:52,2018-04-03 15:36:48.928101,cc:06:77:22:86:e8,PLDTHOMEFIBR286e8,WPA2/WPA,-87,6,Fiberhom,none,14.648917,121.058383
2018-04-10 17:21:54,2018-04-03 15:36:50.477394,60:31:97:93:5e:10,PLDTMyDSLBiz5E0F0,WPA2/WPA,-93,7,ZyxelCom,none,14.648818,121.058412
2018-04-10 17:21:54,2018-04-03 15:36:50.826564,00:71:c2:3b:01:46,acb133,WPA2,-89,8,Pegatron,none,14.648818,121.058412
2018-04-10 17:21:58,2018-04-03 15:36:54.411643,c6:ab:b2:00:56:ac,vivo 1609,WPA2,-39,11,None,none,14.648595,121.058463
2018-04-10 17:22:55,2018-04-03 15:37:51.701095,e8:94:f6:b7:81:7a,March2012,WPA2/WPA,-79,10,Tp-LinkT,none,14.648318,121.058432
