First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-04-24 22:07:21,e0:8e:3c:22:2b:d7,bayanDSLWIFI_2BD7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-74,11,14.64485465,121.06096705
2018-04-24 22:07:37,00:13:33:da:f9:62,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-73,6,14.6447274,121.06100284
2018-04-24 22:07:25,00:13:33:f4:45:9f,PLDTHOMEDSLMIRANDA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-66,2,14.64482596,121.06097334
2018-04-24 22:08:10,f0:98:38:9f:a6:e4,AG wifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-73,4,14.64441224,121.06101258
2018-04-24 22:25:59,e4:8d:8c:fb:3d:c2,CVL_Propagation test,[ESS],-73,60,14.64213369,121.0580774
2018-04-24 22:07:29,00:26:75:f5:fe:bc,Premiera Dentista,[WPA-PSK-CCMP+TKIP][WPS][ESS],-83,11,14.64479128,121.06098921
2018-04-24 22:07:37,9c:6f:52:35:15:fc,survivor,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-77,9,14.6447274,121.06100284
2018-04-24 22:07:33,cc:06:77:70:5d:28,,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-77,4,14.64476328,121.0610089
2018-04-24 22:08:03,dc:09:4c:59:ae:c9,B315_9AEC9,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],-77,11,14.64447369,121.06101312
2018-04-24 22:07:51,0a:47:c9:46:96:23,,[WPA2-PSK-CCMP][WPS][ESS][P2P],-73,48,14.64460265,121.06098212
2018-04-24 22:08:10,b8:bc:1b:67:5a:fa,HUAWEI-E5330-5AFA,[WPA2-PSK-CCMP][ESS],-66,7,14.64441224,121.06101258
2018-04-24 22:07:51,7c:8b:ca:56:48:88,Bawal Dito!,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-68,6,14.64460265,121.06098212
2018-04-24 22:07:59,94:46:96:19:2a:3e,PLDTHOMEDSLNFNQ0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-63,3,14.64454002,121.06100371
2018-04-24 22:51:20,94:46:96:1f:ef:be,PLDTHOMEDSLURUW0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-62,5,14.64424782,121.06068998
2018-04-24 22:07:51,7c:8b:ca:56:3e:34,Bawal Dito!,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-76,6,14.64460265,121.06098212
2018-04-24 22:07:55,7c:8b:ca:56:48:8a,Bawal Dito! 5G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-75,48,14.64455123,121.06099066
2018-04-24 22:07:51,cc:06:77:22:fb:7c,Bawal Dito! 5G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-80,36,14.64460265,121.06098212
2018-04-24 22:07:51,c0:56:27:65:cb:9f,Bawal Dito! 5G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],-83,48,14.64460265,121.06098212
2018-04-24 22:07:51,7c:8b:ca:56:66:ac,Bawal Dito!,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-79,6,14.64460265,121.06098212
2018-04-24 22:51:24,cc:06:77:21:02:b0,,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-56,5,14.64425172,121.06072564
2018-04-24 22:09:16,18:60:24:0b:31:da,DIRECT-D9-HP OfficeJet Pro 8720,[WPA2-PSK-CCMP][WPS][ESS][P2P],-66,1,14.64380997,121.06106055
2018-04-24 22:08:07,50:09:59:84:e3:dd,N2M3RC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-70,11,14.64443532,121.0610122
2018-04-24 22:07:59,50:c7:bf:40:52:29,Bawal Dito!,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-76,6,14.64454002,121.06100371
2018-04-24 22:07:59,cc:06:77:22:fb:78,Bawal Dito!,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-77,6,14.64454002,121.06100371
2018-04-24 22:51:20,cc:06:77:21:02:b4,,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-62,36,14.64424782,121.06068998
2018-04-24 22:07:59,c0:56:27:65:cb:9e,Bawal Dito!,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],-80,1,14.64454002,121.06100371
2018-04-24 22:51:32,88:3f:d3:06:45:0c,Casabongga,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-60,11,14.64427078,121.06078083
2018-04-24 22:08:52,ec:d0:9f:09:2b:0a,Mi Max 2,[WPA2-PSK-CCMP][ESS],-75,11,14.64405824,121.06105662
2018-04-24 23:30:35,88:d2:74:86:bf:9c,bayanDSLWIFI_BF9C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-65,1,14.64435152,121.06030782
2018-04-24 22:09:44,18:60:24:0b:31:8b,DIRECT-89-HP OfficeJet Pro 8720,[WPA2-PSK-CCMP][WPS][ESS],-67,11,14.6435887,121.06106911
2018-04-24 22:09:16,e4:8d:8c:5a:8b:3b,GloboAsiatico,[WPA2-PSK-TKIP][ESS],-74,6,14.64380997,121.06106055
2018-04-24 22:08:10,e4:8d:8c:82:4a:23,GloboAsiatico,[WPA2-PSK-TKIP][ESS],-85,6,14.64441224,121.06101258
2018-04-24 22:10:24,e6:8d:8c:82:4a:26,,[WPA-EAP+PSK-CCMP+TKIP][WPA2-EAP+PSK-CCMP+TKIP][ESS],-85,6,14.64317111,121.06116287
2018-04-24 22:10:24,e6:8d:8c:82:4a:23,Globo-Associates,[ESS],-84,6,14.64317111,121.06116287
2018-04-24 22:09:00,e4:8d:8c:8c:85:29,GloboAsiatico,[WPA2-PSK-TKIP][ESS],-64,6,14.64395548,121.06107214
2018-04-24 22:09:52,c8:b5:ad:d2:19:50,MPW WI-FI,[WPA2-PSK-CCMP][ESS],-68,36,14.64350554,121.0610912
