Total No. of APs,1365
Box no.,Total APs
0,121
MAC,Persistence,Dates Seen
34:ba:9a:55:b6:dd,1,"04/02/2018,"
f0:98:38:3d:88:68,1,"04/02/2018,"
e0:8e:3c:1f:e9:c3,1,"04/02/2018,"
e0:8e:3c:22:1c:23,1,"04/02/2018,"
94:46:96:18:f3:11,1,"04/02/2018,"
14:b7:f8:64:5d:e0,1,"04/02/2018,"
00:13:33:e8:f4:df,1,"04/02/2018,"
94:46:96:20:6a:43,1,"04/02/2018,"
00:d0:41:cf:f7:da,1,"04/02/2018,"
90:61:0c:2e:d5:16,1,"04/02/2018,"
d0:22:be:21:f6:8d,1,"04/02/2018,"
9c:6f:52:35:10:66,1,"04/02/2018,"
50:09:59:83:80:35,1,"04/02/2018,"
48:00:33:a7:e7:a1,1,"04/02/2018,"
e0:8e:3c:21:f2:cb,1,"04/02/2018,"
22:cd:fe:cc:bf:4a,1,"04/02/2018,"
4c:5e:0c:a2:0c:3b,1,"04/02/2018,"
4e:5e:0c:a2:0c:3b,1,"04/02/2018,"
00:13:33:f4:2a:f6,1,"04/02/2018,"
00:1f:fb:a5:21:19,1,"04/02/2018,"
00:13:33:f4:2a:f7,1,"04/02/2018,"
e0:8e:3c:2f:98:a5,1,"04/02/2018,"
cc:06:77:e0:7c:90,1,"04/02/2018,"
""
Box no.,Total APs
9,35
MAC,Persistence,Dates Seen
90:61:0c:1f:a2:77,5,"03/22/2018, 04/02/2018, 04/05/2018,"
00:13:33:d3:4b:09,4,"03/22/2018, 04/05/2018, 04/10/2018,"
34:cd:be:53:ee:75,5,"03/22/2018, 04/02/2018, 04/05/2018,"
f0:98:38:07:d0:98,4,"03/22/2018, 04/02/2018, 04/05/2018,"
70:5a:9e:da:5e:65,6,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
34:cd:be:53:ee:76,5,"03/22/2018, 04/02/2018, 04/05/2018,"
28:ff:3e:3d:dd:31,4,"03/22/2018, 04/05/2018, 04/10/2018,"
